ミステリアス,-1,-1,-600,名詞,一般,*,*,*,*,ミステリアス,印象,*,*,*,*,*,名詞,*,Mydic
アクティブ,-1,-1,-500,名詞,一般,*,*,*,*,アクティブ,印象,*,*,*,*,*,名詞,*,Mydic
ストイック,-1,-1,-500,名詞,一般,*,*,*,*,ストイック,印象,*,*,*,*,*,名詞,*,Mydic
エレガント,-1,-1,-500,名詞,一般,*,*,*,*,エレガント,印象,*,*,*,*,*,名詞,*,Mydic
ハツラツ,-1,-1,-400,名詞,一般,*,*,*,*,ハツラツ,印象,*,*,*,*,*,名詞,*,Mydic
シトラス,-1,-1,-400,名詞,一般,*,*,*,*,シトラス,香り,*,*,*,*,*,名詞,*,Mydic
ふんわり,-1,-1,-400,名詞,一般,*,*,*,*,ふんわり,印象,*,*,*,*,*,名詞,*,Mydic
開放感,-1,-1,-300,名詞,一般,*,*,*,*,開放感,印象,*,*,*,*,*,名詞,*,Mydic
キャンディ,-1,-1,-500,名詞,一般,*,*,*,*,キャンディ,香り,*,*,*,*,*,名詞,*,Mydic
落ち着いた,-1,-1,-500,名詞,一般,*,*,*,*,落ち着いた,印象,*,*,*,*,*,名詞,*,Mydic
アロマティック,-1,-1,-700,名詞,一般,*,*,*,*,アロマティック,香り,*,*,*,*,*,名詞,*,Mydic
ホワイトフローラル,-1,-1,-900,名詞,一般,*,*,*,*,ホワイトフローラル,香り,*,*,*,*,*,名詞,*,Mydic
オレンジ,-1,-1,-400,名詞,一般,*,*,*,*,オレンジ,香り,*,*,*,*,*,名詞,*,Mydic
かっこいい,-1,-1,-500,名詞,一般,*,*,*,*,かっこいい,印象,*,*,*,*,*,名詞,*,Mydic
ベチバー,-1,-1,-400,名詞,一般,*,*,*,*,ベチバー,香り,*,*,*,*,*,名詞,*,Mydic
ゼラニウム,-1,-1,-500,名詞,一般,*,*,*,*,ゼラニウム,香り,*,*,*,*,*,名詞,*,Mydic
マンゴー,-1,-1,-400,名詞,一般,*,*,*,*,マンゴー,香り,*,*,*,*,*,名詞,*,Mydic
ラン,-1,-1,-200,名詞,一般,*,*,*,*,ラン,香り,*,*,*,*,*,名詞,*,Mydic
こってり,-1,-1,-400,名詞,一般,*,*,*,*,こってり,印象,*,*,*,*,*,名詞,*,Mydic
フルーティ,-1,-1,-500,名詞,一般,*,*,*,*,フルーティ,香り,*,*,*,*,*,名詞,*,Mydic
ロマンチック,-1,-1,-600,名詞,一般,*,*,*,*,ロマンチック,印象,*,*,*,*,*,名詞,*,Mydic
ダマスクローズ,-1,-1,-700,名詞,一般,*,*,*,*,ダマスクローズ,香り,*,*,*,*,*,名詞,*,Mydic
大人かわいい,-1,-1,-600,名詞,一般,*,*,*,*,大人かわいい,印象,*,*,*,*,*,名詞,*,Mydic
ジューシー,-1,-1,-500,名詞,一般,*,*,*,*,ジューシー,印象,*,*,*,*,*,名詞,*,Mydic
ストレート,-1,-1,-500,名詞,一般,*,*,*,*,ストレート,印象,*,*,*,*,*,名詞,*,Mydic
愛され,-1,-1,-300,名詞,一般,*,*,*,*,愛され,印象,*,*,*,*,*,名詞,*,Mydic
透明感,-1,-1,-300,名詞,一般,*,*,*,*,透明感,印象,*,*,*,*,*,名詞,*,Mydic
ほんのり,-1,-1,-400,名詞,一般,*,*,*,*,ほんのり,印象,*,*,*,*,*,名詞,*,Mydic
スパイシー,-1,-1,-500,名詞,一般,*,*,*,*,スパイシー,香り,*,*,*,*,*,名詞,*,Mydic
シトラス系,-1,-1,-500,名詞,一般,*,*,*,*,シトラス系,香り,*,*,*,*,*,名詞,*,Mydic
サンダルウッド,-1,-1,-700,名詞,一般,*,*,*,*,サンダルウッド,香り,*,*,*,*,*,名詞,*,Mydic
ミルキー,-1,-1,-400,名詞,一般,*,*,*,*,ミルキー,香り,*,*,*,*,*,名詞,*,Mydic
さっぱり,-1,-1,-400,名詞,一般,*,*,*,*,さっぱり,印象,*,*,*,*,*,名詞,*,Mydic
心地いい,-1,-1,-400,名詞,一般,*,*,*,*,心地いい,印象,*,*,*,*,*,名詞,*,Mydic
フェミニン,-1,-1,-500,名詞,一般,*,*,*,*,フェミニン,印象,*,*,*,*,*,名詞,*,Mydic
女性らしい,-1,-1,-500,名詞,一般,*,*,*,*,女性らしい,印象,*,*,*,*,*,名詞,*,Mydic
重厚,-1,-1,-200,名詞,一般,*,*,*,*,重厚,印象,*,*,*,*,*,名詞,*,Mydic
濃い,-1,-1,-200,名詞,一般,*,*,*,*,濃い,印象,*,*,*,*,*,名詞,*,Mydic
酸っぱい,-1,-1,-400,名詞,一般,*,*,*,*,酸っぱい,印象,*,*,*,*,*,名詞,*,Mydic
優雅,-1,-1,-200,名詞,一般,*,*,*,*,優雅,印象,*,*,*,*,*,名詞,*,Mydic
素朴,-1,-1,-200,名詞,一般,*,*,*,*,素朴,印象,*,*,*,*,*,名詞,*,Mydic
